depth [ft],Calcite ,Chlorite,Dolomite,Hematite,Illite,K-Feldspar,Kaolinite,Porosity,Quartz,Clay,Bulk
5133.75,0.00133,0.00622,0,0,0.04073,0.10973,0,0.09678,0.7452,0.05279,25.97468966
5134.25,0.00347,0.00441,0,0,0.03018,0.09176,0,0.0994,0.77078,0.03889,25.33696552
5134.75,0.01023,0.00546,0,0,0.02468,0.07563,0,0.09648,0.78751,0.03387,25.42282759
5135.25,0.01866,0.00798,0,0,0.02805,0.05911,0,0.09238,0.79382,0.04048,26.81496552
5135.75,0.02288,0.01,0,0,0.03552,0.04455,0,0.0908,0.79625,0.05115,28.77862069
5136.25,0.02263,0.00988,0,0,0.03635,0.03679,0,0.09464,0.7997,0.05194,29.96324138
5136.75,0.01962,0.00748,0,0,0.02909,0.0354,0,0.09921,0.80921,0.04109,28.65682759
5137.25,0.01494,0.00498,0,0,0.01894,0.0377,0,0.10044,0.82301,0.02687,26.49910345
5137.75,0.00945,0.0043,0,0,0.01435,0.03975,0,0.09641,0.83573,0.02096,26.60213793
5138.25,0.00682,0.00581,0,0,0.01679,0.04157,0,0.09293,0.83608,0.02539,27.13172414
5138.75,0.00905,0.00806,0,0,0.0258,0.04574,0,0.08942,0.82194,0.03803,27.09213793
5139.25,0.01336,0.0105,0,0,0.03829,0.05175,0,0.08658,0.79952,0.05482,26.81889655
5139.75,0.01465,0.01229,0,0,0.04932,0.05817,0,0.08653,0.77904,0.06923,27.1722069
5140.25,0.00849,0.01201,0,0,0.05435,0.06532,0,0.08952,0.7703,0.07458,28.66089655
5140.75,0.00009,0.01042,0,0,0.05362,0.07792,0,0.09312,0.76484,0.07197,28.13165517
5141.25,0,0.00797,0,0,0.05399,0.09719,0,0.09289,0.74796,0.06966,27.4017931
5141.75,0,0.0067,0,0,0.06457,0.11091,0.00012,0.08609,0.73162,0.08027,27.71131034
5142.25,0,0.00638,0,0,0.06984,0.10826,0.01872,0.08006,0.71675,0.10571,28.21586207
5142.75,0,0.00531,0,0,0.05787,0.09455,0.01872,0.0834,0.74014,0.09106,28.47165517
5143.25,0.00609,0.00423,0,0,0.03669,0.08113,0,0.09164,0.78021,0.04602,28.70931034
5143.75,0.00963,0.00313,0,0,0.02044,0.07594,0,0.09186,0.799,0.0265,28.81144828
5144.25,0.00855,0.00126,0,0,0.01792,0.07468,0,0.08411,0.81348,0.02158,28.29448276
5144.75,0.0051,0.00086,0,0,0.02033,0.07715,0,0.08158,0.81498,0.02384,27.12855172
5145.25,0.00302,0.00134,0,0,0.02399,0.07973,0,0.08803,0.80388,0.0285,25.82944828
5145.75,0.00314,0.00081,0,0,0.02633,0.07768,0,0.09477,0.79727,0.03054,25.32662069
5146.25,0.00431,0,0,0,0.02319,0.07299,0.0002,0.09427,0.80505,0.02631,26.74482759
5146.75,0.00514,0,0,0,0.01793,0.06726,0.00042,0.08649,0.82277,0.02062,28.68793103
5147.25,0.00568,0,0,0,0.01722,0.06255,0.00004,0.08254,0.83197,0.01942,29.46765517
5147.75,0.00639,0.00003,0,0,0.01892,0.05766,0.0001,0.08281,0.83408,0.02144,29.48606897
5148.25,0.0065,0.00026,0,0,0.01725,0.05709,0,0.0882,0.8307,0.0197,28.29551724
5148.75,0.00539,0.00009,0,0,0.01604,0.05901,0,0.09012,0.82934,0.01815,28.00268966
5149.25,0.00455,0.00005,0,0,0.01555,0.0598,0,0.089,0.83105,0.01755,27.20606897
5149.75,0.0041,0,0,0,0.01498,0.05941,0,0.08574,0.83578,0.01686,25.8242069
5150.25,0.00372,0.00007,0,0,0.01155,0.05934,0,0.0858,0.83953,0.01307,25.88468966
5150.75,0.00356,0.00072,0,0,0.00756,0.05994,0,0.08766,0.84055,0.00932,26.85744828
5151.25,0.00453,0.00155,0,0,0.01097,0.05949,0,0.08714,0.83632,0.01408,28.41544828
5151.75,0.00548,0.00342,0,0,0.01788,0.05982,0,0.08709,0.82632,0.02394,28.28593103
5152.25,0.00619,0.00083,0,0,0.03961,0.05822,0,0.09011,0.80504,0.0455,27.15096552
5152.75,0.00847,0.00469,0,0,0.02665,0.05971,0,0.10341,0.79707,0.03523,25.85234483
5153.25,0.01032,0.00364,0,0,0.02394,0.0553,0,0.1134,0.79339,0.03101,24.9057931
5153.75,0.01253,0.00305,0,0,0.01892,0.049,0,0.11799,0.79851,0.0247,24.79475862
5154.25,0.01434,0.00342,0,0,0.01258,0.04495,0,0.11733,0.80737,0.01798,24.80455172
5154.75,0.01508,0.00377,0,0,0.006,0.0444,0,0.11586,0.81489,0.01097,25.20448276
5155.25,0.01419,0.0033,0,0,0.00018,0.0448,0,0.11462,0.8229,0.00389,25.56144828
